dataset,Black_Negative_ds
boardsize,6
num_boards,108121
Board#,NumPieces,MatchPlayer,MatchType,MatchBaseName,MatchVarName,MatchX,MatchY
9,4,0,MatchType.EMPTY,bridge,,4,4
11,5,0,MatchType.EMPTY,bridge,,4,4
12,4,1,MatchType.EMPTY,bridge,rot60,0,5
13,5,0,MatchType.EMPTY,bridge,,4,4
13,5,1,MatchType.EMPTY,bridge,rot60,0,5
14,5,1,MatchType.EMPTY,bridge,rot60,0,5
15,6,0,MatchType.EMPTY,bridge,,4,4
15,6,1,MatchType.EMPTY,bridge,rot60,0,5
17,5,0,MatchType.EMPTY,bridge,,4,4
19,6,0,MatchType.EMPTY,bridge,,4,4
20,5,1,MatchType.EMPTY,bridge,rot60,0,5
21,6,0,MatchType.EMPTY,bridge,,4,4
21,6,1,MatchType.EMPTY,bridge,rot60,0,5
22,6,1,MatchType.EMPTY,bridge,rot60,0,5
23,7,0,MatchType.EMPTY,bridge,,4,4
23,7,1,MatchType.EMPTY,bridge,rot60,0,5
25,4,0,MatchType.EMPTY,bridge,rot120,2,3
27,5,0,MatchType.EMPTY,bridge,rot120,2,3
28,4,1,MatchType.INCONCLUSIVE,bridge,rot60,1,4
29,5,1,MatchType.INCONCLUSIVE,bridge,rot60,1,4
29,5,0,MatchType.EMPTY,bridge,rot120,2,3
30,5,1,MatchType.INCONCLUSIVE,bridge,rot60,1,4
31,6,1,MatchType.INCONCLUSIVE,bridge,rot60,1,4
31,6,0,MatchType.EMPTY,bridge,rot120,2,3
33,5,0,MatchType.EMPTY,bridge,rot120,2,3
35,6,0,MatchType.EMPTY,bridge,rot120,2,3
36,5,1,MatchType.INCONCLUSIVE,bridge,rot60,1,4
37,6,1,MatchType.INCONCLUSIVE,bridge,rot60,1,4
37,6,0,MatchType.EMPTY,bridge,rot120,2,3
38,6,1,MatchType.INCONCLUSIVE,bridge,rot60,1,4
39,7,1,MatchType.INCONCLUSIVE,bridge,rot60,1,4
39,7,0,MatchType.EMPTY,bridge,rot120,2,3
40,4,1,MatchType.WON,bridge,rot60,2,2
41,5,1,MatchType.WON,bridge,rot60,2,2
41,5,1,MatchType.INCONCLUSIVE,crescent,rot300,4,1
42,5,1,MatchType.EMPTY,bridge,,1,1
42,5,1,MatchType.WON,bridge,rot60,2,2
43,6,1,MatchType.EMPTY,bridge,,1,1
43,6,1,MatchType.WON,bridge,rot60,2,2
43,6,1,MatchType.INCONCLUSIVE,crescent,rot300,4,1
46,3,1,MatchType.EMPTY,bridge,rot60,2,5
47,4,1,MatchType.EMPTY,bridge,rot60,2,5
48,4,1,MatchType.EMPTY,bridge,rot60,2,5
49,5,1,MatchType.EMPTY,bridge,rot60,2,5
50,4,1,MatchType.EMPTY,bridge,rot60,2,5
51,5,1,MatchType.EMPTY,bridge,rot60,2,5
52,5,1,MatchType.EMPTY,bridge,rot60,2,5
53,6,1,MatchType.EMPTY,bridge,rot60,2,5
59,4,0,MatchType.EMPTY,bridge,rot120,0,3
61,5,0,MatchType.EMPTY,bridge,rot120,0,3
62,4,1,MatchType.EMPTY,bridge,,1,4
63,5,1,MatchType.EMPTY,bridge,,1,4
63,5,0,MatchType.EMPTY,bridge,rot120,0,3
64,5,1,MatchType.EMPTY,bridge,,1,4
65,6,1,MatchType.EMPTY,bridge,,1,4
65,6,0,MatchType.EMPTY,bridge,rot120,0,3
66,2,0,MatchType.EMPTY,bridge,rot60,1,5
67,3,0,MatchType.EMPTY,bridge,rot60,1,5
68,3,0,MatchType.EMPTY,bridge,rot60,1,5
68,3,0,MatchType.EMPTY,bridge,rot120,3,4
69,4,0,MatchType.EMPTY,bridge,rot60,1,5
69,4,0,MatchType.EMPTY,bridge,rot120,3,4
70,3,0,MatchType.EMPTY,bridge,rot60,1,5
71,4,0,MatchType.EMPTY,bridge,rot60,1,5
72,4,0,MatchType.EMPTY,bridge,rot60,1,5
72,4,0,MatchType.EMPTY,bridge,rot120,3,4
73,5,0,MatchType.EMPTY,bridge,rot60,1,5
73,5,0,MatchType.EMPTY,bridge,rot120,3,4
74,3,0,MatchType.EMPTY,bridge,rot60,1,5
75,4,0,MatchType.EMPTY,bridge,rot60,1,5
76,4,0,MatchType.EMPTY,bridge,rot60,1,5
76,4,0,MatchType.INCONCLUSIVE,bridge,rot120,3,4
77,5,0,MatchType.EMPTY,bridge,rot60,1,5
77,5,0,MatchType.INCONCLUSIVE,bridge,rot120,3,4
78,4,0,MatchType.EMPTY,bridge,rot60,1,5
79,5,0,MatchType.EMPTY,bridge,rot60,1,5
80,5,0,MatchType.EMPTY,bridge,rot60,1,5
80,5,0,MatchType.INCONCLUSIVE,bridge,rot120,3,4
81,6,0,MatchType.EMPTY,bridge,rot60,1,5
81,6,0,MatchType.INCONCLUSIVE,bridge,rot120,3,4
82,3,0,MatchType.EMPTY,bridge,rot60,1,5
83,4,0,MatchType.EMPTY,bridge,rot60,1,5
84,4,0,MatchType.EMPTY,bridge,rot60,1,5
84,4,0,MatchType.EMPTY,bridge,rot120,3,4
85,5,0,MatchType.EMPTY,bridge,rot60,1,5
85,5,0,MatchType.EMPTY,bridge,rot120,3,4
86,4,0,MatchType.EMPTY,bridge,rot60,1,5
87,5,0,MatchType.EMPTY,bridge,rot60,1,5
88,5,0,MatchType.EMPTY,bridge,rot60,1,5
88,5,0,MatchType.EMPTY,bridge,rot120,3,4
89,6,0,MatchType.EMPTY,bridge,rot60,1,5
89,6,0,MatchType.EMPTY,bridge,rot120,3,4
90,4,0,MatchType.EMPTY,bridge,rot60,1,5
91,5,0,MatchType.EMPTY,bridge,rot60,1,5
92,5,0,MatchType.EMPTY,bridge,rot60,1,5
92,5,0,MatchType.INCONCLUSIVE,bridge,rot120,3,4
93,6,0,MatchType.EMPTY,bridge,rot60,1,5
93,6,0,MatchType.INCONCLUSIVE,bridge,rot120,3,4
94,5,0,MatchType.EMPTY,bridge,rot60,1,5
95,6,0,MatchType.EMPTY,bridge,rot60,1,5
96,6,0,MatchType.EMPTY,bridge,rot60,1,5
96,6,0,MatchType.INCONCLUSIVE,bridge,rot120,3,4
97,7,0,MatchType.EMPTY,bridge,rot60,1,5
97,7,0,MatchType.INCONCLUSIVE,bridge,rot120,3,4
100,3,0,MatchType.EMPTY,bridge,rot60,3,5
101,4,0,MatchType.EMPTY,bridge,rot60,3,5
104,4,0,MatchType.EMPTY,bridge,rot60,3,5
105,5,0,MatchType.EMPTY,bridge,rot60,3,5
108,4,0,MatchType.EMPTY,bridge,rot60,3,5
109,5,0,MatchType.EMPTY,bridge,rot60,3,5
112,5,0,MatchType.EMPTY,bridge,rot60,3,5
113,6,0,MatchType.EMPTY,bridge,rot60,3,5
116,4,0,MatchType.EMPTY,bridge,rot60,3,5
117,5,0,MatchType.EMPTY,bridge,rot60,3,5
120,5,0,MatchType.EMPTY,bridge,rot60,3,5
121,6,0,MatchType.EMPTY,bridge,rot60,3,5
124,5,0,MatchType.EMPTY,bridge,rot60,3,5
125,6,0,MatchType.EMPTY,bridge,rot60,3,5
128,6,0,MatchType.EMPTY,bridge,rot60,3,5
129,7,0,MatchType.EMPTY,bridge,rot60,3,5
132,4,0,MatchType.EMPTY,bridge,rot60,3,5
133,5,0,MatchType.EMPTY,bridge,rot60,3,5
136,5,0,MatchType.EMPTY,bridge,rot60,3,5
137,6,0,MatchType.EMPTY,bridge,rot60,3,5
140,5,0,MatchType.EMPTY,bridge,rot60,3,5
141,6,0,MatchType.EMPTY,bridge,rot60,3,5
144,6,0,MatchType.EMPTY,bridge,rot60,3,5
145,7,0,MatchType.EMPTY,bridge,rot60,3,5
148,5,0,MatchType.EMPTY,bridge,rot60,3,5
149,6,0,MatchType.EMPTY,bridge,rot60,3,5
152,6,0,MatchType.EMPTY,bridge,rot60,3,5
153,7,0,MatchType.EMPTY,bridge,rot60,3,5
156,6,0,MatchType.EMPTY,bridge,rot60,3,5
157,7,0,MatchType.EMPTY,bridge,rot60,3,5
