dataset,Black_Positive_ds
boardsize,6
num_boards,120871
Board#,NumPieces,MatchPlayer,MatchType,MatchBaseName,MatchVarName,MatchX,MatchY
32,3,1,MatchType.EMPTY,bridge,rot60,2,1
33,4,1,MatchType.EMPTY,bridge,rot60,2,1
34,4,1,MatchType.EMPTY,bridge,rot60,2,1
35,5,1,MatchType.EMPTY,bridge,rot60,2,1
36,4,1,MatchType.EMPTY,bridge,rot60,2,1
37,5,1,MatchType.EMPTY,bridge,rot60,2,1
38,5,1,MatchType.EMPTY,bridge,rot60,2,1
39,6,1,MatchType.EMPTY,bridge,rot60,2,1
40,4,1,MatchType.EMPTY,bridge,rot60,2,1
41,5,1,MatchType.EMPTY,bridge,rot60,2,1
42,5,1,MatchType.EMPTY,bridge,rot60,2,1
43,6,1,MatchType.EMPTY,bridge,rot60,2,1
44,5,1,MatchType.EMPTY,bridge,rot60,2,1
45,6,1,MatchType.EMPTY,bridge,rot60,2,1
46,6,1,MatchType.EMPTY,bridge,rot60,2,1
47,7,1,MatchType.EMPTY,bridge,rot60,2,1
48,4,1,MatchType.EMPTY,bridge,rot60,2,1
49,5,1,MatchType.EMPTY,bridge,rot60,2,1
50,5,1,MatchType.EMPTY,bridge,rot60,2,1
51,6,1,MatchType.EMPTY,bridge,rot60,2,1
52,5,1,MatchType.EMPTY,bridge,rot60,2,1
53,6,1,MatchType.EMPTY,bridge,rot60,2,1
54,6,1,MatchType.EMPTY,bridge,rot60,2,1
55,7,1,MatchType.EMPTY,bridge,rot60,2,1
56,5,1,MatchType.EMPTY,bridge,rot60,2,1
57,6,1,MatchType.EMPTY,bridge,rot60,2,1
58,6,1,MatchType.EMPTY,bridge,rot60,2,1
59,7,1,MatchType.EMPTY,bridge,rot60,2,1
60,6,1,MatchType.EMPTY,bridge,rot60,2,1
61,7,1,MatchType.EMPTY,bridge,rot60,2,1
62,7,1,MatchType.EMPTY,bridge,rot60,2,1
63,8,1,MatchType.EMPTY,bridge,rot60,2,1
74,3,1,MatchType.EMPTY,bridge,rot120,0,3
75,4,1,MatchType.EMPTY,bridge,rot120,0,3
76,4,1,MatchType.EMPTY,bridge,rot120,0,3
77,5,1,MatchType.EMPTY,bridge,rot120,0,3
78,4,1,MatchType.EMPTY,bridge,rot120,0,3
79,5,1,MatchType.EMPTY,bridge,rot120,0,3
80,5,1,MatchType.EMPTY,bridge,rot120,0,3
81,6,1,MatchType.EMPTY,bridge,rot120,0,3
90,4,1,MatchType.EMPTY,bridge,rot120,0,3
91,5,1,MatchType.EMPTY,bridge,rot120,0,3
92,5,1,MatchType.EMPTY,bridge,rot120,0,3
93,6,1,MatchType.EMPTY,bridge,rot120,0,3
94,5,1,MatchType.EMPTY,bridge,rot120,0,3
95,6,1,MatchType.EMPTY,bridge,rot120,0,3
96,6,1,MatchType.EMPTY,bridge,rot120,0,3
97,7,1,MatchType.EMPTY,bridge,rot120,0,3
107,4,1,MatchType.EMPTY,bridge,rot120,3,3
108,5,1,MatchType.EMPTY,bridge,rot120,3,3
109,5,1,MatchType.EMPTY,bridge,rot120,3,3
110,6,1,MatchType.EMPTY,bridge,rot120,3,3
111,5,1,MatchType.EMPTY,bridge,rot120,3,3
112,6,1,MatchType.EMPTY,bridge,rot120,3,3
113,6,1,MatchType.EMPTY,bridge,rot120,3,3
114,7,1,MatchType.EMPTY,bridge,rot120,3,3
123,5,1,MatchType.EMPTY,bridge,rot120,3,3
124,6,1,MatchType.EMPTY,bridge,rot120,3,3
125,6,1,MatchType.EMPTY,bridge,rot120,3,3
126,7,1,MatchType.EMPTY,bridge,rot120,3,3
127,6,1,MatchType.EMPTY,bridge,rot120,3,3
128,7,1,MatchType.EMPTY,bridge,rot120,3,3
129,7,1,MatchType.EMPTY,bridge,rot120,3,3
130,8,1,MatchType.EMPTY,bridge,rot120,3,3
176,4,0,MatchType.EMPTY,bridge,rot60,1,4
179,4,0,MatchType.INCONCLUSIVE,bridge,rot60,3,3
180,5,0,MatchType.INCONCLUSIVE,bridge,rot60,3,3
180,5,0,MatchType.EMPTY,bridge,rot60,1,4
197,5,0,MatchType.EMPTY,bridge,rot60,0,2
198,6,0,MatchType.EMPTY,bridge,rot60,0,2
199,6,0,MatchType.EMPTY,bridge,rot60,0,2
200,7,0,MatchType.EMPTY,bridge,rot60,0,2
213,6,0,MatchType.EMPTY,bridge,rot60,0,2
214,7,0,MatchType.EMPTY,bridge,rot60,0,2
215,7,0,MatchType.EMPTY,bridge,rot60,0,2
216,8,0,MatchType.EMPTY,bridge,rot60,0,2
229,6,0,MatchType.EMPTY,bridge,rot60,0,2
230,7,0,MatchType.EMPTY,bridge,rot60,0,2
231,7,0,MatchType.EMPTY,bridge,rot60,0,2
232,8,0,MatchType.EMPTY,bridge,rot60,0,2
245,7,0,MatchType.EMPTY,bridge,rot60,0,2
246,8,0,MatchType.EMPTY,bridge,rot60,0,2
247,8,0,MatchType.EMPTY,bridge,rot60,0,2
248,9,0,MatchType.EMPTY,bridge,rot60,0,2
250,4,0,MatchType.EMPTY,bridge,rot120,0,3
252,5,0,MatchType.EMPTY,bridge,rot120,0,3
253,3,1,MatchType.EMPTY,bridge,,1,3
258,3,0,MatchType.EMPTY,bridge,rot60,2,3
259,4,0,MatchType.EMPTY,bridge,rot60,2,3
262,4,0,MatchType.EMPTY,bridge,rot60,2,3
263,5,0,MatchType.EMPTY,bridge,rot60,2,3
266,4,0,MatchType.EMPTY,bridge,rot60,2,3
267,5,0,MatchType.EMPTY,bridge,rot60,2,3
270,5,0,MatchType.EMPTY,bridge,rot60,2,3
271,6,0,MatchType.EMPTY,bridge,rot60,2,3
274,4,0,MatchType.EMPTY,bridge,rot60,2,3
275,5,0,MatchType.EMPTY,bridge,rot60,2,3
278,5,0,MatchType.EMPTY,bridge,rot60,2,3
279,6,0,MatchType.EMPTY,bridge,rot60,2,3
282,5,0,MatchType.EMPTY,bridge,rot60,2,3
283,6,0,MatchType.EMPTY,bridge,rot60,2,3
286,6,0,MatchType.EMPTY,bridge,rot60,2,3
287,7,0,MatchType.EMPTY,bridge,rot60,2,3
290,4,0,MatchType.EMPTY,bridge,rot60,2,3
291,5,0,MatchType.EMPTY,bridge,rot60,2,3
294,5,0,MatchType.EMPTY,bridge,rot60,2,3
295,6,0,MatchType.EMPTY,bridge,rot60,2,3
298,5,0,MatchType.EMPTY,bridge,rot60,2,3
299,6,0,MatchType.EMPTY,bridge,rot60,2,3
302,6,0,MatchType.EMPTY,bridge,rot60,2,3
303,7,0,MatchType.EMPTY,bridge,rot60,2,3
306,5,0,MatchType.EMPTY,bridge,rot60,2,3
307,6,0,MatchType.EMPTY,bridge,rot60,2,3
310,6,0,MatchType.EMPTY,bridge,rot60,2,3
311,7,0,MatchType.EMPTY,bridge,rot60,2,3
314,6,0,MatchType.EMPTY,bridge,rot60,2,3
315,7,0,MatchType.EMPTY,bridge,rot60,2,3
318,7,0,MatchType.EMPTY,bridge,rot60,2,3
319,8,0,MatchType.EMPTY,bridge,rot60,2,3
341,4,0,MatchType.EMPTY,bridge,rot120,0,5
345,5,0,MatchType.EMPTY,bridge,rot120,0,5
349,5,0,MatchType.EMPTY,bridge,rot120,0,5
350,4,1,MatchType.EMPTY,bridge,rot60,3,2
351,5,1,MatchType.EMPTY,bridge,rot60,3,2
352,5,1,MatchType.EMPTY,bridge,rot60,3,2
353,6,1,MatchType.EMPTY,bridge,rot60,3,2
353,6,0,MatchType.EMPTY,bridge,rot120,0,5
391,4,0,MatchType.EMPTY,bridge,,1,4
393,5,0,MatchType.EMPTY,bridge,,1,4
399,5,0,MatchType.EMPTY,bridge,,1,4
401,6,0,MatchType.EMPTY,bridge,,1,4
402,3,1,MatchType.EMPTY,bridge,,2,0
403,4,1,MatchType.EMPTY,bridge,,2,0
404,4,1,MatchType.EMPTY,bridge,,2,0
405,5,1,MatchType.EMPTY,bridge,,2,0
406,4,1,MatchType.EMPTY,bridge,,2,0
407,5,1,MatchType.EMPTY,bridge,,2,0
407,5,0,MatchType.EMPTY,bridge,,1,4
408,5,1,MatchType.EMPTY,bridge,,2,0
409,6,1,MatchType.EMPTY,bridge,,2,0
409,6,0,MatchType.EMPTY,bridge,,1,4
410,4,1,MatchType.EMPTY,bridge,,2,0
411,5,1,MatchType.EMPTY,bridge,,2,0
412,5,1,MatchType.EMPTY,bridge,,2,0
413,6,1,MatchType.EMPTY,bridge,,2,0
414,5,1,MatchType.EMPTY,bridge,,2,0
415,6,1,MatchType.EMPTY,bridge,,2,0
415,6,0,MatchType.EMPTY,bridge,,1,4
416,6,1,MatchType.EMPTY,bridge,,2,0
417,7,1,MatchType.EMPTY,bridge,,2,0
417,7,0,MatchType.EMPTY,bridge,,1,4
423,5,0,MatchType.EMPTY,bridge,,1,4
425,6,0,MatchType.EMPTY,bridge,,1,4
431,6,0,MatchType.EMPTY,bridge,,1,4
433,7,0,MatchType.EMPTY,bridge,,1,4
434,4,1,MatchType.EMPTY,bridge,,2,0
435,5,1,MatchType.EMPTY,bridge,,2,0
436,5,1,MatchType.EMPTY,bridge,,2,0
437,6,1,MatchType.EMPTY,bridge,,2,0
438,5,1,MatchType.EMPTY,bridge,,2,0
439,6,1,MatchType.EMPTY,bridge,,2,0
439,6,0,MatchType.EMPTY,bridge,,1,4
440,6,1,MatchType.EMPTY,bridge,,2,0
441,7,1,MatchType.EMPTY,bridge,,2,0
441,7,0,MatchType.EMPTY,bridge,,1,4
442,5,1,MatchType.EMPTY,bridge,,2,0
443,6,1,MatchType.EMPTY,bridge,,2,0
444,6,1,MatchType.EMPTY,bridge,,2,0
445,7,1,MatchType.EMPTY,bridge,,2,0
446,6,1,MatchType.EMPTY,bridge,,2,0
447,7,1,MatchType.EMPTY,bridge,,2,0
447,7,0,MatchType.EMPTY,bridge,,1,4
448,7,1,MatchType.EMPTY,bridge,,2,0
449,8,1,MatchType.EMPTY,bridge,,2,0
449,8,0,MatchType.EMPTY,bridge,,1,4
474,3,1,MatchType.EMPTY,bridge,rot60,2,1
475,4,1,MatchType.EMPTY,bridge,rot60,2,1
476,4,1,MatchType.EMPTY,bridge,rot60,2,1
477,5,1,MatchType.EMPTY,bridge,rot60,2,1
478,4,1,MatchType.EMPTY,bridge,rot60,2,1
479,5,1,MatchType.EMPTY,bridge,rot60,2,1
480,5,1,MatchType.EMPTY,bridge,rot60,2,1
481,6,1,MatchType.EMPTY,bridge,rot60,2,1
506,4,1,MatchType.EMPTY,bridge,rot60,2,1
507,5,1,MatchType.EMPTY,bridge,rot60,2,1
508,5,1,MatchType.EMPTY,bridge,rot60,2,1
509,6,1,MatchType.EMPTY,bridge,rot60,2,1
510,5,1,MatchType.EMPTY,bridge,rot60,2,1
511,6,1,MatchType.EMPTY,bridge,rot60,2,1
512,6,1,MatchType.EMPTY,bridge,rot60,2,1
513,7,1,MatchType.EMPTY,bridge,rot60,2,1
538,4,1,MatchType.EMPTY,bridge,rot60,2,1
539,5,1,MatchType.EMPTY,bridge,rot60,2,1
540,5,1,MatchType.EMPTY,bridge,rot60,2,1
541,6,1,MatchType.EMPTY,bridge,rot60,2,1
542,5,1,MatchType.EMPTY,bridge,rot60,2,1
543,6,1,MatchType.EMPTY,bridge,rot60,2,1
544,6,1,MatchType.EMPTY,bridge,rot60,2,1
545,7,1,MatchType.EMPTY,bridge,rot60,2,1
570,5,1,MatchType.EMPTY,bridge,rot60,2,1
571,6,1,MatchType.EMPTY,bridge,rot60,2,1
572,6,1,MatchType.EMPTY,bridge,rot60,2,1
573,7,1,MatchType.EMPTY,bridge,rot60,2,1
574,6,1,MatchType.EMPTY,bridge,rot60,2,1
575,7,1,MatchType.EMPTY,bridge,rot60,2,1
576,7,1,MatchType.EMPTY,bridge,rot60,2,1
577,8,1,MatchType.EMPTY,bridge,rot60,2,1
617,3,0,MatchType.EMPTY,bridge,rot120,0,4
618,4,0,MatchType.EMPTY,bridge,rot120,0,4
621,4,0,MatchType.EMPTY,bridge,rot120,1,2
621,4,0,MatchType.EMPTY,bridge,rot120,0,4
622,5,0,MatchType.EMPTY,bridge,rot120,1,2
622,5,0,MatchType.EMPTY,bridge,rot120,0,4
625,4,0,MatchType.EMPTY,bridge,rot120,0,4
626,5,0,MatchType.EMPTY,bridge,rot120,0,4
629,5,0,MatchType.EMPTY,bridge,rot120,1,2
629,5,0,MatchType.EMPTY,bridge,rot120,0,4
630,6,0,MatchType.EMPTY,bridge,rot120,1,2
630,6,0,MatchType.EMPTY,bridge,rot120,0,4
633,4,0,MatchType.EMPTY,bridge,rot120,0,4
634,5,0,MatchType.EMPTY,bridge,rot120,0,4
637,5,0,MatchType.EMPTY,bridge,rot120,1,2
637,5,0,MatchType.EMPTY,bridge,rot120,0,4
638,6,0,MatchType.EMPTY,bridge,rot120,1,2
638,6,0,MatchType.EMPTY,bridge,rot120,0,4
641,5,0,MatchType.EMPTY,bridge,rot120,0,4
642,6,0,MatchType.EMPTY,bridge,rot120,0,4
645,6,0,MatchType.EMPTY,bridge,rot120,1,2
645,6,0,MatchType.EMPTY,bridge,rot120,0,4
646,7,0,MatchType.EMPTY,bridge,rot120,1,2
646,7,0,MatchType.EMPTY,bridge,rot120,0,4
649,4,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
650,5,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
653,5,0,MatchType.EMPTY,bridge,rot120,1,2
653,5,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
654,6,0,MatchType.EMPTY,bridge,rot120,1,2
654,6,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
657,5,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
658,6,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
661,6,0,MatchType.EMPTY,bridge,rot120,1,2
661,6,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
662,7,0,MatchType.EMPTY,bridge,rot120,1,2
662,7,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
665,5,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
666,6,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
669,6,0,MatchType.EMPTY,bridge,rot120,1,2
669,6,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
670,7,0,MatchType.EMPTY,bridge,rot120,1,2
670,7,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
673,6,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
674,7,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
677,7,0,MatchType.EMPTY,bridge,rot120,1,2
677,7,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
678,8,0,MatchType.EMPTY,bridge,rot120,1,2
678,8,0,MatchType.INCONCLUSIVE,bridge,rot120,0,4
679,3,1,MatchType.EMPTY,bridge,,1,0
680,4,1,MatchType.EMPTY,bridge,,1,0
681,4,1,MatchType.EMPTY,bridge,,1,0
681,4,0,MatchType.EMPTY,bridge,rot120,0,4
682,5,1,MatchType.EMPTY,bridge,,1,0
682,5,0,MatchType.EMPTY,bridge,rot120,0,4
683,4,1,MatchType.INCONCLUSIVE,bridge,,1,0
684,5,1,MatchType.INCONCLUSIVE,bridge,,1,0
685,5,1,MatchType.INCONCLUSIVE,bridge,,1,0
685,5,0,MatchType.INCONCLUSIVE,bridge,rot120,1,2
685,5,0,MatchType.EMPTY,bridge,rot120,0,4
686,6,1,MatchType.INCONCLUSIVE,bridge,,1,0
686,6,0,MatchType.INCONCLUSIVE,bridge,rot120,1,2
686,6,0,MatchType.EMPTY,bridge,rot120,0,4
687,4,1,MatchType.EMPTY,bridge,,1,0
688,5,1,MatchType.EMPTY,bridge,,1,0
689,5,1,MatchType.EMPTY,bridge,,1,0
689,5,0,MatchType.EMPTY,bridge,rot120,0,4
690,6,1,MatchType.EMPTY,bridge,,1,0
690,6,0,MatchType.EMPTY,bridge,rot120,0,4
691,5,1,MatchType.INCONCLUSIVE,bridge,,1,0
692,6,1,MatchType.INCONCLUSIVE,bridge,,1,0
693,6,1,MatchType.INCONCLUSIVE,bridge,,1,0
693,6,0,MatchType.INCONCLUSIVE,bridge,rot120,1,2
693,6,0,MatchType.EMPTY,bridge,rot120,0,4
694,7,1,MatchType.INCONCLUSIVE,bridge,,1,0
694,7,0,MatchType.INCONCLUSIVE,bridge,rot120,1,2
694,7,0,MatchType.EMPTY,bridge,rot120,0,4
695,4,1,MatchType.EMPTY,bridge,,1,0
696,5,1,MatchType.EMPTY,bridge,,1,0
697,5,1,MatchType.EMPTY,bridge,,1,0
697,5,0,MatchType.EMPTY,bridge,rot120,0,4
698,6,1,MatchType.EMPTY,bridge,,1,0
698,6,0,MatchType.EMPTY,bridge,rot120,0,4
699,5,1,MatchType.INCONCLUSIVE,bridge,,1,0
700,6,1,MatchType.INCONCLUSIVE,bridge,,1,0
701,6,1,MatchType.INCONCLUSIVE,bridge,,1,0
701,6,0,MatchType.INCONCLUSIVE,bridge,rot120,1,2
701,6,0,MatchType.EMPTY,bridge,rot120,0,4
702,7,1,MatchType.INCONCLUSIVE,bridge,,1,0
702,7,0,MatchType.INCONCLUSIVE,bridge,rot120,1,2
702,7,0,MatchType.EMPTY,bridge,rot120,0,4
703,5,1,MatchType.EMPTY,bridge,,1,0
704,6,1,MatchType.EMPTY,bridge,,1,0
705,6,1,MatchType.EMPTY,bridge,,1,0
