dataset,White_Positive_ds
boardsize,6
num_boards,106111
Board#,NumPieces,MatchPlayer,MatchType,MatchBaseName,MatchVarName,MatchX,MatchY
12,4,1,MatchType.EMPTY,bridge,,1,3
13,5,1,MatchType.EMPTY,bridge,,1,3
14,5,1,MatchType.EMPTY,bridge,,1,3
15,6,1,MatchType.EMPTY,bridge,,1,3
28,5,1,MatchType.EMPTY,bridge,,1,3
29,6,1,MatchType.EMPTY,bridge,,1,3
30,6,1,MatchType.EMPTY,bridge,,1,3
31,7,1,MatchType.EMPTY,bridge,,1,3
44,5,1,MatchType.EMPTY,bridge,,1,3
45,6,1,MatchType.EMPTY,bridge,,1,3
46,6,1,MatchType.EMPTY,bridge,,1,3
47,7,1,MatchType.EMPTY,bridge,,1,3
60,6,1,MatchType.EMPTY,bridge,,1,3
61,7,1,MatchType.EMPTY,bridge,,1,3
62,7,1,MatchType.EMPTY,bridge,,1,3
63,8,1,MatchType.EMPTY,bridge,,1,3
68,2,0,MatchType.EMPTY,bridge,rot60,0,1
69,3,0,MatchType.EMPTY,bridge,rot60,0,1
70,3,0,MatchType.EMPTY,bridge,rot60,0,1
71,4,0,MatchType.EMPTY,bridge,rot60,0,1
72,3,0,MatchType.INCONCLUSIVE,bridge,rot60,0,1
73,4,0,MatchType.INCONCLUSIVE,bridge,rot60,0,1
74,4,0,MatchType.INCONCLUSIVE,bridge,rot60,0,1
75,5,0,MatchType.INCONCLUSIVE,bridge,rot60,0,1
77,4,0,MatchType.INCONCLUSIVE,bridge,,2,2
79,5,0,MatchType.INCONCLUSIVE,bridge,,2,2
80,4,1,MatchType.EMPTY,bridge,rot120,2,4
81,5,0,MatchType.INCONCLUSIVE,bridge,,2,2
81,5,1,MatchType.INCONCLUSIVE,bridge,rot120,2,4
82,5,1,MatchType.EMPTY,bridge,rot120,2,4
83,6,0,MatchType.INCONCLUSIVE,bridge,,2,2
83,6,1,MatchType.INCONCLUSIVE,bridge,rot120,2,4
84,4,1,MatchType.INCONCLUSIVE,bridge,rot60,1,3
85,5,0,MatchType.INCONCLUSIVE,bridge,,2,2
85,5,1,MatchType.INCONCLUSIVE,bridge,rot60,1,3
86,5,1,MatchType.INCONCLUSIVE,bridge,rot60,1,3
87,6,0,MatchType.INCONCLUSIVE,bridge,,2,2
87,6,1,MatchType.INCONCLUSIVE,bridge,rot60,1,3
88,5,1,MatchType.EMPTY,bridge,,1,3
88,5,1,MatchType.INCONCLUSIVE,bridge,rot60,1,3
88,5,1,MatchType.EMPTY,bridge,rot120,2,4
88,5,1,MatchType.INCONCLUSIVE,wheel,rot60,1,3
89,6,0,MatchType.INCONCLUSIVE,bridge,,2,2
89,6,1,MatchType.EMPTY,bridge,,1,3
89,6,1,MatchType.INCONCLUSIVE,bridge,rot60,1,3
89,6,1,MatchType.INCONCLUSIVE,bridge,rot120,2,4
89,6,1,MatchType.INCONCLUSIVE,wheel,rot60,1,3
90,6,1,MatchType.EMPTY,bridge,,1,3
90,6,1,MatchType.INCONCLUSIVE,bridge,rot60,1,3
90,6,1,MatchType.EMPTY,bridge,rot120,2,4
90,6,1,MatchType.INCONCLUSIVE,wheel,rot60,1,3
91,7,0,MatchType.INCONCLUSIVE,bridge,,2,2
91,7,1,MatchType.EMPTY,bridge,,1,3
91,7,1,MatchType.INCONCLUSIVE,bridge,rot60,1,3
91,7,1,MatchType.INCONCLUSIVE,bridge,rot120,2,4
91,7,1,MatchType.INCONCLUSIVE,wheel,rot60,1,3
96,3,1,MatchType.EMPTY,bridge,rot120,0,5
97,4,1,MatchType.EMPTY,bridge,rot120,0,5
98,4,1,MatchType.INCONCLUSIVE,bridge,rot120,0,5
99,5,1,MatchType.INCONCLUSIVE,bridge,rot120,0,5
116,4,0,MatchType.EMPTY,bridge,,4,4
117,3,0,MatchType.EMPTY,bridge,,2,3
118,4,0,MatchType.EMPTY,bridge,,2,3
119,4,0,MatchType.EMPTY,bridge,,2,3
120,5,0,MatchType.EMPTY,bridge,,2,3
120,5,0,MatchType.EMPTY,bridge,,4,4
